Experiment,group,food,temperature,stage,val,val_li,val_ui,intercept,intercept_li,intercept_ui,p_not_zero,N,diff_val,diff_li,diff_ui,diff_p,replicate_id
AMP100_Dosage_Series,0.062mM,UV,20,vigorous_vs_death,0.921910145,0.78115124,1.06266905,4.187246515,2.352111645,6.022381386,0,244,0.077751151,-0.067179709,0.209157917,0.126,5
AMP100_Dosage_Series,wildtype UV-inactivated 20C,UV,20,movement_vs_death,0.888626482,0.647196292,1.130056673,5.326215415,-1.015049761,11.66748059,0,208,0.117698729,-0.03887,0.257935958,0.0396,5
AMP100_Dosage_Series,wildtype UV-inactivated 20C,UV,20,vigorous_vs_death,0.48785954,-0.020814462,0.996533542,17.8625214,6.732683086,28.9923597,0,208,0.482058802,-0.125016152,1.173578159,0.074,5
AMP100_Dosage_Series,0.031mM,UV,20,movement_vs_death,0.964799503,0.873571437,1.056027569,1.935832343,0.239826458,3.631838228,0,236,0.0348404,-0.023486463,0.129891671,0.1692,5
AMP100_Dosage_Series,0.031mM,UV,20,vigorous_vs_death,0.801391251,0.653175949,0.949606552,7.296580599,4.981435355,9.611725843,0,236,0.202146364,0.080438376,0.396297987,8.00E-04,5
AMP100_Dosage_Series,0.04mM,UV,20,movement_vs_death,0.900793666,0.740411089,1.061176243,3.510413461,0.5649696,6.455857322,0,83,0.09638281,-0.053000112,0.302958282,0.1276,5
AMP100_Dosage_Series,0.04mM,UV,20,vigorous_vs_death,0.862048107,0.606989845,1.11710637,5.874643281,1.676399948,10.07288661,0,83,0.129250744,-0.100819916,0.325997518,0.1136,5
AMP100_Dosage_Series,0.015mM,UV,20,movement_vs_death,1.031638369,0.930590892,1.132685847,0.734165672,-1.507685526,2.976016869,0,184,-0.029086094,-0.096844343,0.052610082,0.7916,5
AMP100_Dosage_Series,0.015mM,UV,20,vigorous_vs_death,0.775671307,0.564827916,0.986514699,8.426180839,4.32352644,12.52883524,0,184,0.23721736,-0.027670608,0.526531707,0.032,5
AMP100_Dosage_Series,0.125mM,UV,20,movement_vs_death,1.002663339,0.837149697,1.168176981,1.514406396,-0.508528879,3.537341671,0,288,-0.002603144,-0.197500904,0.176050605,0.5052,5
AMP100_Dosage_Series,0.125mM,UV,20,vigorous_vs_death,0.813245854,0.586578224,1.039913484,4.580995757,2.025355616,7.136635898,0,288,0.171299862,-0.124917416,0.435760168,0.1204,5
AMP100_Dosage_Series,0.375mM,UV,20,movement_vs_death,1.069870135,0.937871285,1.201868985,0.367558411,-1.240607468,1.975724289,0,76,-0.048209272,-0.193045447,0.124032098,0.7956,5
AMP100_Dosage_Series,0.375mM,UV,20,vigorous_vs_death,0.955170743,0.795630014,1.114711471,2.588797237,0.781180532,4.396413942,0,76,0.096483863,-0.201817076,0.353155399,0.3236,5
AMP100_Dosage_Series,1mM,UV,20,movement_vs_death,0.929674183,0.862252021,0.997096346,1.113022145,0.321875951,1.904168339,0,85,0.074058843,0.009971253,0.134291805,0.0044,5
